age,workclass,fnlwgt,education.num,marital.status,sex,capital.gain,capital.loss,hours.per.week,income,Race_Amer-Indian-Eskimo,Race_Asian-Pac-Islander,Race_Black,Race_Other,Race_White,occupation_Adm-clerical,occupation_Craft-repair,occupation_Exec-managerial,occupation_Other-service,occupation_Prof-specialty,occupation_Sales
90,0,77053,9,-3,0,0,4356,40,0,0,0,0,0,1,0,0,0,1,0,0
82,6,132870,9,-3,0,0,4356,18,0,0,0,0,0,1,0,0,1,0,0,0
66,0,186061,10,-3,0,0,4356,40,0,0,0,1,0,0,0,0,0,1,0,0
54,6,140359,4,-2,0,0,3900,40,0,0,0,0,0,1,0,0,0,1,0,0
41,6,264663,10,-1,0,0,3900,40,0,0,0,0,0,1,0,0,0,0,1,0
34,6,216864,9,-2,0,0,3770,45,0,0,0,0,0,1,0,0,0,1,0,0
38,6,150601,6,-1,1,0,3770,40,0,0,0,0,0,1,1,0,0,0,0,0
74,3,88638,16,0,0,0,3683,20,1,0,0,0,0,1,0,0,0,0,1,0
68,4,422013,9,-2,0,0,3683,40,0,0,0,0,0,1,0,0,0,0,1,0
41,6,70037,10,0,1,0,3004,60,1,0,0,0,0,1,0,1,0,0,0,0
45,6,172274,16,-2,0,0,3004,35,1,0,0,1,0,0,0,0,0,0,1,0
38,5,164526,15,0,1,0,2824,45,1,0,0,0,0,1,0,0,0,0,1,0
52,6,129177,13,-3,0,0,2824,20,1,0,0,0,0,1,0,0,0,1,0,0
32,6,136204,14,-1,1,0,2824,55,1,0,0,0,0,1,0,0,1,0,0,0
51,0,172175,16,0,1,0,2824,40,1,0,0,0,0,1,0,0,0,1,0,0
46,6,45363,15,-2,1,0,2824,40,1,0,0,0,0,1,0,0,0,0,1,0
45,6,172822,7,-2,1,0,2824,76,1,0,0,0,0,1,0,0,0,1,0,0
57,6,317847,14,-2,1,0,2824,50,1,0,0,0,0,1,0,0,1,0,0,0
22,6,119592,12,0,1,0,2824,40,1,0,0,1,0,0,0,0,0,1,0,0
34,6,203034,13,-1,1,0,2824,50,1,0,0,0,0,1,0,0,0,0,0,1
37,6,188774,13,0,1,0,2824,40,1,0,0,0,0,1,0,0,1,0,0,0
29,6,77009,7,-1,0,0,2754,42,0,0,0,0,0,1,0,0,0,0,0,1
61,6,29059,9,-2,0,0,2754,25,0,0,0,0,0,1,0,0,0,0,0,1
51,6,153870,10,2,1,0,2603,40,0,0,0,0,0,1,0,0,0,1,0,0
61,0,135285,9,2,1,0,2603,32,0,0,0,0,0,1,0,0,0,1,0,0
21,6,34310,11,2,1,0,2603,40,0,0,0,0,0,1,0,1,0,0,0,0
33,6,228696,2,2,1,0,2603,32,0,0,0,0,0,1,0,1,0,0,0,0
49,6,122066,3,2,1,0,2603,40,0,0,0,0,0,1,0,0,0,1,0,0
37,7,107164,6,0,1,0,2559,50,1,0,0,0,0,1,0,0,0,1,0,0
